start='2025-01-01', end='2025-02-05
NTPC.NS and TATAMOTORS.NS: Correlation = -0.37, Lag = -4 days
NTPC.NS and TATAPOWER.NS: Correlation = 0.83, Lag = 0 days
NTPC.NS and TCS.NS: Correlation = -0.60, Lag = 1 days
NTPC.NS and TITAN.NS: Correlation = -0.68, Lag = -3 days
NTPC.NS and WIPRO.NS: Correlation = -0.11, Lag = -2 days
RELIANCE.NS and TATAMOTORS.NS: Correlation = -0.39, Lag = 6 days
RELIANCE.NS and TATAPOWER.NS: Correlation = -0.46, Lag = -6 days
RELIANCE.NS and TCS.NS: Correlation = 0.74, Lag = -5 days
RELIANCE.NS and TITAN.NS: Correlation = -0.37, Lag = -2 days
RELIANCE.NS and WIPRO.NS: Correlation = -0.45, Lag = -2 days
TATAMOTORS.NS and TATAPOWER.NS: Correlation = 0.62, Lag = -3 days
TATAMOTORS.NS and TCS.NS: Correlation = 0.61, Lag = 5 days
TATAMOTORS.NS and TITAN.NS: Correlation = 0.37, Lag = -6 days
TATAMOTORS.NS and WIPRO.NS: Correlation = -0.77, Lag = -2 days
TATAPOWER.NS and TCS.NS: Correlation = 0.56, Lag = 6 days
TATAPOWER.NS and TITAN.NS: Correlation = -0.41, Lag = -4 days
TATAPOWER.NS and WIPRO.NS: Correlation = -0.35, Lag = -2 days
TCS.NS and TITAN.NS: Correlation = 0.73, Lag = -4 days
TCS.NS and WIPRO.NS: Correlation = -0.36, Lag = -5 days
TITAN.NS and WIPRO.NS: Correlation = nan, Lag = -6 days

Negatively Correlated Pairs:
AXISBANK.NS and BRITANNIA.NS: Correlation = -0.54, Lag = -2 days
AXISBANK.NS and KOTAKBANK.NS: Correlation = -0.65, Lag = -2 days
AXISBANK.NS and MARUTI.NS: Correlation = -0.70, Lag = -2 days
AXISBANK.NS and NESTLEIND.NS: Correlation = -0.37, Lag = 6 days
AXISBANK.NS and RELIANCE.NS: Correlation = -0.61, Lag = -2 days
AXISBANK.NS and WIPRO.NS: Correlation = -0.37, Lag = -2 days
HINDUNILVR.NS and NTPC.NS: Correlation = -0.63, Lag = 2 days
HINDUNILVR.NS and TATAMOTORS.NS: Correlation = -0.54, Lag = -5 days
HINDUNILVR.NS and TCS.NS: Correlation = -0.63, Lag = -4 days
ICICIBANK.NS and MARUTI.NS: Correlation = -0.36, Lag = -3 days
ICICIBANK.NS and RELIANCE.NS: Correlation = -0.79, Lag = -2 days
ICICIBANK.NS and TCS.NS: Correlation = -0.58, Lag = -6 days
INFY.NS and KOTAKBANK.NS: Correlation = -0.47, Lag = -2 days
INFY.NS and MARUTI.NS: Correlation = -0.70, Lag = -2 days
INFY.NS and RELIANCE.NS: Correlation = -0.58, Lag = -1 days
INFY.NS and WIPRO.NS: Correlation = -0.23, Lag = -2 days
ITC.NS and MARUTI.NS: Correlation = -0.40, Lag = -2 days
ITC.NS and NESTLEIND.NS: Correlation = -0.54, Lag = -5 days
ITC.NS and NTPC.NS: Correlation = -0.56, Lag = 6 days
ITC.NS and RELIANCE.NS: Correlation = -0.49, Lag = 2 days
ITC.NS and TATAMOTORS.NS: Correlation = -0.68, Lag = -6 days
ITC.NS and TCS.NS: Correlation = -0.41, Lag = -4 days
ITC.NS and TITAN.NS: Correlation = -0.40, Lag = -5 days
NESTLEIND.NS and NTPC.NS: Correlation = -0.63, Lag = 2 days
NESTLEIND.NS and TATAMOTORS.NS: Correlation = -0.68, Lag = -6 days
NESTLEIND.NS and TATAPOWER.NS: Correlation = -0.31, Lag = 2 days
NTPC.NS and RELIANCE.NS: Correlation = -0.73, Lag = 5 days
NTPC.NS and TATAMOTORS.NS: Correlation = -0.37, Lag = -4 days
NTPC.NS and TCS.NS: Correlation = -0.60, Lag = 1 days
NTPC.NS and TITAN.NS: Correlation = -0.68, Lag = -3 days
NTPC.NS and WIPRO.NS: Correlation = -0.11, Lag = -2 days
RELIANCE.NS and TATAMOTORS.NS: Correlation = -0.39, Lag = 6 days
RELIANCE.NS and TATAPOWER.NS: Correlation = -0.46, Lag = -6 days
RELIANCE.NS and TITAN.NS: Correlation = -0.37, Lag = -2 days
RELIANCE.NS and WIPRO.NS: Correlation = -0.45, Lag = -2 days
TATAMOTORS.NS and WIPRO.NS: Correlation = -0.77, Lag = -2 days
TATAPOWER.NS and TITAN.NS: Correlation = -0.41, Lag = -4 days
TATAPOWER.NS and WIPRO.NS: Correlation = -0.35, Lag = -2 days
TCS.NS and WIPRO.NS: Correlation = -0.36, Lag = -5 days
